interaction_id,user_id,job_id,event_type,timestamp,duration_sec,source,device
1,2065,489,apply,2026-04-28 16:59,105,email,desktop
2,4988,2102,save,2026-03-07 22:05,295,direct,desktop
3,1965,883,save,2026-04-13 01:50,71,recommendation,tablet
4,3131,1669,click,2026-01-14 06:05,256,recommendation,desktop
5,1408,293,click,2026-04-06 14:34,35,search,mobile
6,2840,2088,click,2026-02-18 23:27,47,search,mobile
7,5827,1840,apply,2026-02-18 20:48,135,email,mobile
8,4978,2606,apply,2026-02-15 10:15,200,recommendation,tablet
9,3489,615,click,2026-04-16 14:14,210,recommendation,desktop
10,5189,2222,click,2026-04-30 22:39,224,direct,desktop
11,1841,582,click,2026-02-12 14:07,214,email,mobile
12,2645,2302,click,2026-02-03 07:14,139,email,tablet
13,3551,2874,click,2026-03-16 22:01,190,email,tablet
14,1809,1699,apply,2026-04-29 21:05,270,direct,tablet
15,1793,112,click,2026-02-07 10:14,263,recommendation,tablet
16,2043,1276,save,2026-02-25 04:04,142,direct,mobile
17,1883,1404,save,2026-03-24 22:32,177,recommendation,desktop
18,5175,2921,save,2026-02-18 13:33,37,recommendation,tablet
19,3366,244,click,2026-01-25 23:09,63,email,mobile
20,3049,2534,view,2026-02-24 12:12,125,search,mobile
21,2656,442,click,2026-02-15 19:15,288,search,tablet
22,4151,985,save,2026-03-08 10:26,217,email,tablet
23,3395,1528,save,2026-01-17 14:41,46,direct,mobile
24,4865,2088,save,2026-04-14 10:55,275,direct,desktop
25,3767,2842,apply,2026-04-14 16:24,66,email,tablet
26,2137,2189,apply,2026-04-05 08:41,64,search,mobile
27,1665,2694,click,2026-02-27 04:45,29,recommendation,tablet
28,1679,114,apply,2026-02-28 16:00,129,direct,desktop
29,5976,5,click,2026-05-11 19:35,11,recommendation,mobile
30,5330,669,view,2026-04-19 07:19,73,email,desktop
31,2482,108,click,2026-02-01 11:09,42,recommendation,desktop
32,2089,2265,click,2026-04-10 13:08,74,email,desktop
33,4977,2301,apply,2026-03-11 10:17,107,search,mobile
34,2888,1451,apply,2026-05-12 04:38,7,search,desktop
35,4225,2114,click,2026-03-28 00:56,160,search,tablet
36,3780,225,apply,2026-03-19 18:31,113,recommendation,desktop
37,4958,190,view,2026-02-27 02:15,168,search,tablet
38,2124,2453,view,2026-03-21 07:19,55,email,mobile
39,4672,133,view,2026-02-18 00:57,252,email,mobile
40,1937,594,apply,2026-02-19 14:42,218,email,mobile
41,3180,2452,save,2026-04-03 14:15,257,search,tablet
42,2238,563,save,2026-03-14 11:52,82,recommendation,mobile
43,2928,2810,click,2026-03-28 12:08,17,direct,desktop
