job_id,title,company,location,job_type,experience_level,skills,salary_min,salary_max,posted_date,status
1,Data Scientist,Accenture,Hyderabad,Hybrid,Junior,"TensorFlow,MLOps,Python",706702,1660002,2025-11-29,Open
2,Full Stack Developer,Google,Bangalore,Internship,Junior,"Python,SQL,ML",575760,1418884,2026-03-16,Open
3,DevOps Engineer,Accenture,Mumbai,Full-time,Junior,"Flutter,Firebase,Dart",1274436,1506451,2026-01-01,Closed
4,Backend Engineer,IBM,Delhi,Internship,Junior,"Docker,Kubernetes,CI/CD",333710,1054048,2026-04-07,Closed
5,DevOps Engineer,Amazon,Hyderabad,Internship,Senior,"Java,Spring,AWS",693701,1702721,2026-04-13,Closed
6,Backend Engineer,Adobe,Mumbai,Hybrid,Senior,"Docker,Kubernetes,CI/CD",1713353,2630712,2026-01-05,Open
7,Data Scientist,Accenture,Pune,Remote,Senior,"Docker,Kubernetes,CI/CD",550534,1148380,2026-03-23,Closed
8,Cloud Engineer,Flipkart,Mumbai,Remote,Senior,"Python,SQL,ML",1421543,2592878,2026-04-08,Open
9,Mobile Developer,Amazon,Pune,Full-time,Junior,"Python,SQL,ML",1156119,1991715,2025-11-15,Closed
10,Data Analyst,TCS,Mumbai,Remote,Mid,"Docker,Kubernetes,CI/CD",744695,1027620,2025-12-22,Closed
11,Frontend Developer,Google,Delhi,Full-time,Junior,"Cybersecurity,Networking,Linux",1586340,2251523,2026-04-09,Open
12,Full Stack Developer,TCS,Bangalore,Hybrid,Junior,"Cybersecurity,Networking,Linux",1625169,2387623,2026-03-19,Closed
13,DevOps Engineer,Razorpay,Kolkata,Hybrid,Senior,"Cybersecurity,Networking,Linux",1614189,2003900,2026-02-10,Closed
14,Full Stack Developer,Amazon,Mumbai,Hybrid,Senior,"TensorFlow,MLOps,Python",1045448,1290616,2026-02-16,Open
15,Data Scientist,Microsoft,Chennai,Remote,Senior,"TensorFlow,MLOps,Python",1111572,1913177,2025-12-25,Closed
16,Full Stack Developer,Microsoft,Delhi,Full-time,Mid,"Python,SQL,ML",1603528,2475130,2026-04-05,Closed
17,Data Scientist,IBM,Mumbai,Hybrid,Junior,"Java,Spring,AWS",1515895,2508555,2025-11-20,Open
18,Full Stack Developer,IBM,Bangalore,Internship,Junior,"Cybersecurity,Networking,Linux",520805,1313962,2026-01-05,Closed
19,Data Scientist,Adobe,Hyderabad,Hybrid,Junior,"Python,SQL,ML",1345993,1749411,2026-04-01,Open
20,Data Analyst,HCL,Remote,Remote,Junior,"Java,Spring,AWS",733657,1146349,2026-04-06,Closed
21,Mobile Developer,Google,Delhi,Full-time,Senior,"Cybersecurity,Networking,Linux",1512721,1856072,2026-04-06,Closed
22,Frontend Developer,HCL,Chennai,Internship,Mid,"React,Node.js,JS",1532997,2395798,2026-03-10,Open
23,Full Stack Developer,HCL,Delhi,Full-time,Mid,"Cybersecurity,Networking,Linux",1773774,2348628,2026-04-22,Closed
24,DevOps Engineer,Wipro,Pune,Full-time,Junior,"Flutter,Firebase,Dart",662392,1372232,2026-04-14,Open
25,DevOps Engineer,Microsoft,Mumbai,Full-time,Junior,"Flutter,Firebase,Dart",983782,1499489,2026-02-25,Closed
26,Data Scientist,Accenture,Hyderabad,Remote,Senior,"Python,SQL,ML",1764099,2040838,2026-05-12,Closed
27,Cloud Engineer,Razorpay,Remote,Internship,Junior,"TensorFlow,MLOps,Python",514516,973306,2025-12-01,Closed
